Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
SP,Madison Bumgarner (7223385),Madison Bumgarner,7223385,12200,Pit@SF 03:45PM ET,SF
SP,Lance McCullers (7223354),Lance McCullers,7223354,11200,StL@Hou 02:10PM ET,Hou
SP,J.A. Happ (7223303),J.A. Happ,7223303,10900,Tor@NYY 01:05PM ET,Tor
SP,Chris Archer (7223321),Chris Archer,7223321,10600,SD@TB 01:10PM ET,TB
SP,Marco Estrada (7223304),Marco Estrada,7223304,9700,Tor@NYY 01:05PM ET,Tor
SP,Johnny Cueto (7223381),Johnny Cueto,7223381,9700,Pit@SF 03:45PM ET,SF
SP,Tyson Ross (7223324),Tyson Ross,7223324,9700,SD@TB 01:10PM ET,SD
SP,Masahiro Tanaka (7223308),Masahiro Tanaka,7223308,9600,Tor@NYY 01:05PM ET,NYY
SP,Drew Smyly (7223331),Drew Smyly,7223331,9500,SD@TB 01:10PM ET,TB
SP,Stephen Strasburg (7223367),Stephen Strasburg,7223367,9400,Was@Col 03:10PM ET,Was
SP,Jaime Garcia (7223339),Jaime Garcia,7223339,9200,StL@Hou 02:10PM ET,StL
SP,Jake Odorizzi (7223323),Jake Odorizzi,7223323,9200,SD@TB 01:10PM ET,TB
SP,Max Scherzer (7223360),Max Scherzer,7223360,8900,Was@Col 03:10PM ET,Was
SP,Jameson Taillon (7223392),Jameson Taillon,7223392,8900,Pit@SF 03:45PM ET,Pit
SP,Blake Snell (7223337),Blake Snell,7223337,8800,SD@TB 01:10PM ET,TB
SP,Marcus Stroman (7223310),Marcus Stroman,7223310,8700,Tor@NYY 01:05PM ET,Tor
SP,Aaron Sanchez (7223312),Aaron Sanchez,7223312,8600,Tor@NYY 01:05PM ET,Tor
SP,Dallas Keuchel (7223345),Dallas Keuchel,7223345,8400,StL@Hou 02:10PM ET,Hou
SP,Carlos Martinez (7223347),Carlos Martinez,7223347,8100,StL@Hou 02:10PM ET,StL
SP,Tim Cooney (7223352),Tim Cooney,7223352,8100,StL@Hou 02:10PM ET,StL
SP,Michael Pineda (7223306),Michael Pineda,7223306,8000,Tor@NYY 01:05PM ET,NYY
SP,Alex Reyes (7223356),Alex Reyes,7223356,7800,StL@Hou 02:10PM ET,StL
SP,Alex Cobb (7223320),Alex Cobb,7223320,7700,SD@TB 01:10PM ET,TB
SP,Matt Andriese (7223334),Matt Andriese,7223334,7700,SD@TB 01:10PM ET,TB
SP,Matt Moore (7223386),Matt Moore,7223386,7600,Pit@SF 03:45PM ET,SF
SP,Collin McHugh (7223344),Collin McHugh,7223344,7600,StL@Hou 02:10PM ET,Hou
SP,Joe Musgrove (7223349),Joe Musgrove,7223349,7600,StL@Hou 02:10PM ET,Hou
SP,Doug Fister (7223340),Doug Fister,7223340,7500,StL@Hou 02:10PM ET,Hou
SP,Tyler Glasnow (7223394),Tyler Glasnow,7223394,7400,Pit@SF 03:45PM ET,Pit
SP,Brandon Morrow (7223319),Brandon Morrow,7223319,7200,SD@TB 01:10PM ET,SD
SP,CC Sabathia (7223298),CC Sabathia,7223298,7000,Tor@NYY 01:05PM ET,NYY
SP,Jeff Samardzija (7223383),Jeff Samardzija,7223383,6900,Pit@SF 03:45PM ET,SF
SP,Brad Peacock (7223342),Brad Peacock,7223342,6900,StL@Hou 02:10PM ET,Hou
SP,Mike Bolsinger (7223311),Mike Bolsinger,7223311,6900,Tor@NYY 01:05PM ET,Tor
SP,Gerrit Cole (7223388),Gerrit Cole,7223388,6800,Pit@SF 03:45PM ET,Pit
SP,Tanner Roark (7223365),Tanner Roark,7223365,6800,Was@Col 03:10PM ET,Was
SP,Michael Wacha (7223353),Michael Wacha,7223353,6700,StL@Hou 02:10PM ET,StL
SP,Chad Kuhl (7223396),Chad Kuhl,7223396,6600,Pit@SF 03:45PM ET,Pit
SP,Mike Fiers (7223346),Mike Fiers,7223346,6400,StL@Hou 02:10PM ET,Hou
SP,Clayton Blackburn (7223395),Clayton Blackburn,7223395,6400,Pit@SF 03:45PM ET,SF
SP,R.A. Dickey (7223299),R.A. Dickey,7223299,6300,Tor@NYY 01:05PM ET,Tor
SP,Ivan Nova (7223384),Ivan Nova,7223384,6300,Pit@SF 03:45PM ET,Pit
SP,Drew Hutchison (7223390),Drew Hutchison,7223390,6200,Pit@SF 03:45PM ET,Pit
SP,Nathan Eovaldi (7223307),Nathan Eovaldi,7223307,6000,Tor@NYY 01:05PM ET,NYY
SP,Erik Johnson (7223333),Erik Johnson,7223333,6000,SD@TB 01:10PM ET,SD
SP,Albert Suarez (7223389),Albert Suarez,7223389,5900,Pit@SF 03:45PM ET,SF
SP,Cesar Vargas (7223329),Cesar Vargas,7223329,5900,SD@TB 01:10PM ET,SD
SP,Chad Green (7223314),Chad Green,7223314,5900,Tor@NYY 01:05PM ET,NYY
SP,Christian Friedrich (7223322),Christian Friedrich,7223322,5800,SD@TB 01:10PM ET,SD
