player,salary,team,pos,opp,ceil,floor,fpts
"Jacoby Ellsbury",3500,NYY,OF,TOR,,,7.28
"Brett Gardner",4000,NYY,OF,TOR,,,7.74
"Brian McCann",3000,NYY,C,TOR,,,7.6
"Starlin Castro",3500,NYY,2B,TOR,,,5.93
"Didi Gregorius",3500,NYY,SS,TOR,,,6.82
"Chase Headley",3000,NYY,3B,TOR,,,6.72
"Mark Teixeira",3100,NYY,1B,TOR,,,6.46
"Aaron Judge",2700,NYY,OF,TOR,,,6.44
"Gary Sanchez",2500,NYY,C,TOR,,,6.02
"Josh Donaldson",4600,TOR,3B,NYY,,,9.13
"Edwin Encarnacion",4700,TOR,1B,NYY,,,9.07
"Russell Martin",3400,TOR,C,NYY,,,6.05
"Michael Saunders",3600,TOR,OF,NYY,,,8.05
"Troy Tulowitzki",4400,TOR,SS,NYY,,,7.41
"Devon Travis",4600,TOR,2B,NYY,,,7.63
"Melvin Upton Jr.",3100,TOR,OF,NYY,,,5.9
"Darrell Ceciliani",2500,TOR,OF,NYY,,,4.66
"Aaron Hicks",3000,NYY,OF,TOR,,,5.49
"Ezequiel Carrera",3100,TOR,OF,NYY,,,5.43
"Adrian Gonzalez",4700,LAD,1B,PHI,,,7.46
"Justin Turner",5100,LAD,3B,PHI,,,7.1
"Chase Utley",3500,LAD,2B,PHI,,,6.87
"Yasmani Grandal",4600,LAD,C,PHI,,,6.9
"Howie Kendrick",3600,LAD,2B/OF,PHI,,,5.73
"Corey Seager",4800,LAD,SS,PHI,,,9.23
"Josh Reddick",3700,LAD,OF,PHI,,,7.94
"Joc Pederson",4500,LAD,OF,PHI,,,6.61
"Peter Bourjos",2700,PHI,OF,LAD,,,5.32
"Freddy Galvis",3900,PHI,SS,LAD,,,5.62
"Cesar Hernandez",3900,PHI,2B,LAD,,,6.95
"Cameron Rupp",4000,PHI,C,LAD,,,6.02
"Odubel Herrera",4500,PHI,OF,LAD,,,7.6
"Maikel Franco",3500,PHI,3B,LAD,,,7.73
"Aaron Altherr",2900,PHI,OF,LAD,,,6.43
"Ryan Howard",3700,PHI,1B,LAD,,,6.69
"Matt Wieters",3100,BAL,C,BOS,,,6.48
"Mark Trumbo",4400,BAL,OF,BOS,,,9.83
"Adam Jones",4300,BAL,OF,BOS,,,9.08
"Nolan Reimold",2600,BAL,OF,BOS,,,5.39
"Manny Machado",5000,BAL,3B/SS,BOS,,,10.41
"Jonathan Schoop",3400,BAL,2B,BOS,,,7.9
"Chris Davis",3900,BAL,1B,BOS,,,6.53
"J.J. Hardy",3300,BAL,SS,BOS,,,5.96
"Steve Pearce",4200,BAL,1B/2B,BOS,,,8.5
"Dustin Pedroia",4700,BOS,2B,BAL,,,8.64
"David Ortiz",5400,BOS,1B,BAL,,,10.56
"Xander Bogaerts",3900,BOS,SS,BAL,,,8.15
"Travis Shaw",3900,BOS,1B/3B,BAL,,,7.13
"Mookie Betts",5600,BOS,OF,BAL,,,9.71
"Jackie Bradley",4900,BOS,OF,BAL,,,8.91
"Sandy Leon",3800,BOS,C,BAL,,,6.73
"Andrew Benintendi",2800,BOS,OF,BAL,,,6.15
"Aaron Hill",3800,BOS,2B/3B,BAL,,,6.19
"Justin Morneau",2800,CHW,1B,CLE,,,5.32
"Todd Frazier",3000,CHW,3B,CLE,,,6.27
"Adam Eaton",3500,CHW,OF,CLE,,,6.07
"Jose Abreu",4000,CHW,1B,CLE,,,5.69
"Melky Cabrera",2800,CHW,OF,CLE,,,5.22
"Timothy Anderson",3300,CHW,SS,CLE,,,5.06
"Tyler Saladino",3100,CHW,2B/SS,CLE,,,5.2
"J.B. Shuck",2300,CHW,OF,CLE,,,3.88
"Carlos Santana",3600,CLE,1B,CHW,,,7.91
"Mike Napoli",4800,CLE,1B,CHW,,,8.59
"Brandon Guyer",4100,CLE,OF,CHW,,,6.19
"Rajai Davis",4500,CLE,OF,CHW,,,8.65
