player,salary,team,pos,opp,ceil,floor,fpts
"Aaron Hicks",2400,NYY,OF,TOR,,,5.33
"Starlin Castro",3400,NYY,2B,TOR,,,6.6
"Didi Gregorius",3000,NYY,SS,TOR,,,5.24
"Chase Headley",2600,NYY,3B,TOR,,,6.1
"Brett Gardner",3200,NYY,OF,TOR,,,5.84
"Aaron Judge",3100,NYY,OF,TOR,,,6.28
"Gary Sanchez",2400,NYY,C,TOR,,,6.4
"Josh Donaldson",5000,TOR,3B,NYY,,,10.85
"Edwin Encarnacion",5200,TOR,1B,NYY,,,10.16
"Russell Martin",3900,TOR,C,NYY,,,6.55
"Troy Tulowitzki",3800,TOR,SS,NYY,,,7.24
"Devon Travis",4500,TOR,2B,NYY,,,9.2
"Melvin Upton Jr.",3900,TOR,OF,NYY,,,6.22
"Darwin Barney",2100,TOR,2B/SS,NYY,,,4.54
"Austin Romine",2300,NYY,C,TOR,,,5.21
"Tyler Austin",2600,NYY,OF,TOR,,,5.65
"Ezequiel Carrera",3800,TOR,OF,NYY,,,5.44
"Darrell Ceciliani",2600,TOR,OF,NYY,,,5.12
"Travis Jankowski",3500,SDP,OF,TBR,,,6.34
"Ryan Schimpf",3300,SDP,2B,TBR,,,6.29
"Wil Myers",4600,SDP,1B,TBR,,,7.55
"Yangervis Solarte",3300,SDP,2B/3B,TBR,,,6.19
"Alex Dickerson",3000,SDP,OF,TBR,,,6.41
"Alexei Ramirez",2100,SDP,SS,TBR,,,4.96
"Christian Bethancourt",2600,SDP,C,TBR,,,4.94
"Evan Longoria",5000,TBR,3B,SDP,,,8.92
"Mikie Mahtook",2400,TBR,OF,SDP,,,5.83
"Brad Miller",4700,TBR,SS,SDP,,,6.33
"Steve Souza",3600,TBR,OF,SDP,,,6.46
"Kevin Kiermaier",4300,TBR,OF,SDP,,,5.78
"Tim Beckham",3300,TBR,2B/SS,SDP,,,6.04
"Brett Wallace",2600,SDP,1B/3B,TBR,,,5.06
"Nick Noonan",2200,SDP,1B/SS,TBR,,,4.37
"Nick Franklin",3600,TBR,1B/OF,SDP,,,6.06
"Logan Morrison",3100,TBR,1B,SDP,,,5.86
"Bobby Wilson",2700,TBR,C,SDP,,,4.97
"Alex Bregman",3700,HOU,3B,STL,,,5.62
"A.J. Reed",3300,HOU,1B,STL,,,5.42
"Jose Altuve",5300,HOU,2B,STL,,,9.28
"Jason Castro",3000,HOU,C,STL,,,4.94
"Marwin Gonzalez",3200,HOU,1B/3B,STL,,,5.91
"George Springer",3900,HOU,OF,STL,,,7.79
"Carlos Correa",5100,HOU,SS,STL,,,7.53
"Teoscar Hernandez",2500,HOU,OF,STL,,,5.11
"Yadier Molina",3300,STL,C,HOU,,,6.12
"Brandon Moss",4900,STL,1B/OF,HOU,,,8.42
"Stephen Piscotty",3700,STL,OF,HOU,,,7.95
"Randal Grichuk",3800,STL,OF,HOU,,,6.03
"Jedd Gyorko",3900,STL,2B/3B,HOU,,,5.95
"Kolten Wong",2900,STL,2B,HOU,,,6.33
"Matt Carpenter",4600,STL,2B/3B,HOU,,,10.06
