player,salary,team,pos,opp,ceil,floor,fpts
"J.A. Happ",10900,TOR,SP,NYY,,,18.84
"CC Sabathia",7000,NYY,SP,TOR,,,10.93
"Christian Friedrich",5800,SDP,SP,TBR,,,11.98
"Chris Archer",10600,TBR,SP,SDP,,,26.7
"Carlos Martinez",8100,STL,SP,HOU,,,18.52
"Doug Fister",7500,HOU,SP,STL,,,13.46
"Stephen Strasburg",9400,WAS,SP,COL,,,18.54
"Jon Gray",5700,COL,SP,WAS,,,13.66
"Ivan Nova",6300,PIT,SP,SFG,,,12.22
"Matt Cain",5500,SFG,SP,PIT,,,14.21
"Scott Kazmir",7600,LAD,SP,PHI,,,20.42
"Jake Thompson",4100,PHI,SP,LAD,,,11.51
"David Price",8600,BOS,SP,BAL,,,22.79
"Dylan Bundy",4600,BAL,SP,BOS,,,14.16
"Yordano Ventura",7800,KCR,SP,DET,,,13.57
"Anibal Sanchez",5600,DET,SP,KCR,,,16.84
"Kyle Gibson",4900,MIN,SP,ATL,,,15.83
"Michael Foltynewicz",7300,ATL,SP,MIN,,,11.95
"Anthony Ranaudo",4000,CHW,SP,CLE,,,9.94
"Carlos Carrasco",8700,CLE,SP,CHW,,,23.87
"Andrew Cashner",4200,MIA,SP,CIN,,,12.52
"Homer Bailey",8900,CIN,SP,MIA,,,14.33
"Jimmy Nelson",5400,MIL,SP,CHC,,,11.57
"Jon Lester",11200,CHC,SP,MIL,,,24.07
"Sean Manaea",6600,OAK,SP,TEX,,,11.47
"Yu Darvish",11400,TEX,SP,OAK,,,23.57
"Jon Niese",5300,NYM,SP,ARI,,,10.09
"Zachary Godley",4200,ARI,SP,NYM,,,11.53
"Cody Martin",4000,SEA,RP,LAA,,,10.61
"Tyler Skaggs",8300,LAA,SP,SEA,,,14.56
