Foo,PlayerName,Team,POS,ADP,IP,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars
Foo,Clayton Kershaw,Dodgers,SP,4.4,207,($3.7),$26.9,$25.3,$12.0,$60.4,$10.0,$71.4
Foo,Max Scherzer,Nationals,SP,12.9,203,($3.7),$3.6,$13.1,$11.6,$24.6,$10.0,$35.6
Foo,Kenley Jansen,Dodgers,RP,54.1,65,$8.7,$6.3,$8.4,($0.7),$22.7,$10.1,$33.8
Foo,Aroldis Chapman,Yankees,RP,52.2,65,$7.6,$8.6,$5.9,$0.2,$22.2,$10.1,$33.3
Foo,Noah Syndergaard,Mets,SP,17.8,199,($3.7),$5.6,$8.6,$10.7,$21.2,$10.0,$32.2
Foo,Andrew Miller,Indians,RP,126.2,65,$2.6,$9.8,$8.6,($0.3),$20.6,$10.1,$31.8
Foo,Madison Bumgarner,Giants,SP,14.4,209,($3.7),$3.1,$7.0,$9.4,$15.8,$10.0,$26.8
Foo,Edwin Diaz,Mariners,RP,89.0,65,$7.4,$4.5,$3.7,($1.6),$14.0,$10.1,$25.1
Foo,Zach Britton,Orioles,RP,63.6,65,$6.7,$7.0,$0.6,($2.1),$12.1,$10.1,$23.2
Foo,Wade Davis,Cubs,RP,91.6,65,$8.0,$3.6,$1.4,($1.9),$11.1,$10.1,$22.2
Foo,Stephen Strasburg,Nationals,SP,53.9,177,($3.7),$0.6,$4.6,$8.4,$9.9,$10.0,$20.9
Foo,Mark Melancon,Giants,RP,83.3,65,$8.4,$3.4,$0.8,($3.1),$9.5,$10.1,$20.6
Foo,Dellin Betances,Yankees,RP,201.3,65,($3.0),$7.4,$5.0,($0.2),$9.2,$10.1,$20.3
Foo,Craig Kimbrel,Red Sox,RP,86.6,65,$7.5,$2.1,$0.3,($1.1),$8.9,$10.1,$20.0
Foo,Ken Giles,Astros,RP,110.3,65,$4.9,$2.9,$1.7,($1.2),$8.3,$10.1,$19.4
Foo,Seung Hwan Oh,Cardinals,RP,76.4,65,$7.6,$1.0,$1.4,($2.3),$7.7,$10.1,$18.8
Foo,Chris Sale,Red Sox,SP,20.0,213,($3.7),($5.4),$6.1,$9.6,$6.7,$10.0,$17.7
Foo,Corey Kluber,Indians,SP,24.6,211,($3.7),($3.1),$3.3,$9.6,$6.1,$10.0,$17.1
Foo,Kelvin Herrera,Royals,RP,114.9,65,$6.8,$0.7,($0.3),($2.5),$4.8,$10.1,$15.9
Foo,Roberto Osuna,Blue Jays,RP,98.7,65,$6.8,($1.7),$1.4,($2.1),$4.3,$10.1,$15.4
Foo,Jeurys Familia,Mets,RP,130.2,65,$8.3,$1.2,($3.1),($2.5),$4.0,$10.1,$15.1
Foo,Cam Bedrosian,Angels,RP,217.4,65,$6.8,$1.1,($2.1),($2.0),$3.8,$10.1,$14.9
Foo,Raisel Iglesias,Reds,RP,198.6,65,$6.7,($1.1),$0.2,($2.3),$3.5,$10.1,$14.6
Foo,Johnny Cueto,Giants,SP,38.9,209,($3.7),$0.8,($0.4),$6.7,$3.5,$10.0,$14.5
Foo,Rich Hill,Dodgers,SP,130.1,145,($3.7),$2.1,($0.8),$5.0,$2.7,$10.0,$13.7
Foo,Carlos Carrasco,Indians,SP,60.0,186,($3.7),($1.6),$0.5,$7.1,$2.4,$10.0,$13.3
Foo,Jon Lester,Cubs,SP,34.6,204,($3.7),($3.0),$0.3,$8.3,$1.9,$10.0,$12.9
Foo,Grant Dayton,Dodgers,RP,456.3,65,($3.2),$3.4,$3.0,($1.5),$1.6,$10.1,$12.7
Foo,Alex Colome,Rays,RP,120.9,65,$5.0,($0.2),($0.4),($2.8),$1.6,$10.1,$12.7
Foo,Chris Archer,Rays,SP,51.0,199,($3.7),($2.1),($2.0),$8.8,$1.1,$10.0,$12.1
Foo,Shawn Kelley,Nationals,RP,326.4,65,$0.9,$0.7,$0.9,($1.8),$0.8,$10.1,$11.9
Foo,Sean Doolittle,Athletics,RP,391.3,65,($0.2),$0.5,$2.4,($2.0),$0.7,$10.1,$11.8
Foo,Cody Allen,Indians,RP,123.7,65,$1.9,$0.3,($0.5),($1.7),$0.1,$10.1,$11.2
Foo,David Robertson,White Sox,RP,146.5,65,$6.6,($2.3),($2.5),($2.0),($0.1),$10.1,$11.0
Foo,Yu Darvish,Rangers,SP,36.8,195,($3.7),($7.2),($0.7),$10.2,($1.4),$10.0,$9.6
Foo,Carter Capps,Padres,RP,321.4,45,($3.7),$3.2,$1.9,($3.1),($1.6),$10.1,$9.6
Foo,Tony Watson,Pirates,RP,142.1,65,$7.8,($3.2),($3.2),($3.3),($1.9),$10.1,$9.2
Foo,Michael Pineda,Yankees,SP,198.7,152,($3.7),($4.3),$1.3,$4.6,($2.0),$10.0,$9.0
Foo,Hector Rondon,Cubs,RP,352.0,65,($3.0),$1.7,$1.3,($2.4),($2.4),$10.1,$8.7
Foo,Koji Uehara,Cubs,RP,615.8,55,($3.0),$0.3,$3.1,($3.0),($2.6),$10.1,$8.5
Foo,Brandon Maurer,Padres,RP,229.9,65,$5.6,($3.0),($2.6),($2.8),($2.8),$10.1,$8.3
Foo,Hunter Strickland,Giants,RP,383.4,65,($3.3),$1.8,$0.5,($2.5),($3.5),$10.1,$7.6
Foo,Brett Cecil,Cardinals,RP,665.1,55,($3.7),$2.6,$0.3,($3.0),($3.8),$10.1,$7.3
Foo,Arodys Vizcaino,Braves,RP,332.7,65,$3.9,($1.0),($4.8),($2.0),($3.9),$10.1,$7.2
Foo,Kyle Barraclough,Marlins,RP,304.8,65,$0.1,$2.2,($4.9),($1.3),($3.9),$10.1,$7.2
Foo,Justin Verlander,Tigers,SP,43.6,208,($3.7),($9.6),$0.0,$9.0,($4.3),$10.0,$6.7
Foo,David Price,Red Sox,SP,116.2,133,($3.7),($4.0),$1.1,$2.2,($4.3),$10.0,$6.7
Foo,Nate Jones,White Sox,RP,273.0,65,($3.3),$0.3,($0.3),($2.1),($5.4),$10.1,$5.8
